Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Submitter_Id,Title
ERR4238027,AMPLICON,610,420751160,PRJEB38839,SAMEA6943351,230983694,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196821,SAMEA6943351,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,F135 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943351,F135,ERS4653238,ERP122291,F135,Cynomolgus Indonesian
ERR4238029,AMPLICON,610,445857540,PRJEB38839,SAMEA6943352,244819545,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196823,SAMEA6943352,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,F136 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943352,F136,ERS4653239,ERP122291,F136,Cynomolgus Indonesian
ERR4238031,AMPLICON,610,373520690,PRJEB38839,SAMEA6943353,210871881,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196825,SAMEA6943353,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,F137 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943353,F137,ERS4653240,ERP122291,F137,Cynomolgus Indonesian
ERR4238033,AMPLICON,610,507589540,PRJEB38839,SAMEA6943355,270397709,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196827,SAMEA6943355,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,F139 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943355,F139,ERS4653242,ERP122291,F139,Cynomolgus Indonesian
ERR4238035,AMPLICON,610,449842060,PRJEB38839,SAMEA6943356,246710380,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196829,SAMEA6943356,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,F140 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943356,F140,ERS4653243,ERP122291,F140,Cynomolgus Indonesian
ERR4238037,AMPLICON,610,331170830,PRJEB38839,SAMEA6943320,200462182,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196831,SAMEA6943320,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,A1 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943320,A1,ERS4653207,ERP122291,A1,Rhesus Indian IgM
ERR4238039,AMPLICON,610,428146190,PRJEB38839,SAMEA6943321,254582805,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196833,SAMEA6943321,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,A2 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943321,A2,ERS4653208,ERP122291,A2,Rhesus Indian IgM
ERR4238040,AMPLICON,610,502479570,PRJEB38839,SAMEA6943322,286383054,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196834,SAMEA6943322,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,A3 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943322,A3,ERS4653209,ERP122291,A3,Rhesus Indian IgM
ERR4238042,AMPLICON,610,478480340,PRJEB38839,SAMEA6943323,269191673,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196836,SAMEA6943323,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,A4 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943323,A4,ERS4653210,ERP122291,A4,Rhesus Indian IgM
ERR4238044,AMPLICON,610,353790850,PRJEB38839,SAMEA6943324,222244636,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196838,SAMEA6943324,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,A5 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943324,A5,ERS4653211,ERP122291,A5,Rhesus Indian IgM
