Alleles,ChinRhe,IndiRhe,IndoCyn,MaurCyn,Total,Leader only,Upstream only,Both primers sets,Genomically validated,Previous databases,Genomic assemblies
IGHV1-105*01,3,8,0,0,11,F,T,F,T,T,T
IGHV1-105*01_S0606,0,1,0,0,1,F,T,F,F,F,F
IGHV1-124*01,10,12,3,4,29,F,F,T,F,T,T
IGHV1-124*01_S1765,5,4,0,0,9,F,F,T,F,T,F
IGHV1-124*01_S6748,2,1,1,12,16,F,F,T,F,T,T
IGHV1-124*01_S7834,0,4,2,0,6,F,F,T,F,F,F
IGHV1-138*01,1,0,0,0,1,F,F,T,F,T,T
IGHV1-138*01_S2054,1,11,3,10,25,F,F,T,T,T,F
IGHV1-138*01_S2593,4,4,0,0,8,F,F,T,T,T,F
IGHV1-138*01_S3445,4,0,0,0,4,F,F,T,T,T,F
IGHV1-138*01_S4144,1,0,2,0,3,F,T,F,T,T,F
IGHV1-138*01_S6073,0,3,2,10,15,F,F,T,T,T,F
IGHV1-138*01_S8042,0,1,0,0,1,F,F,T,F,T,F
IGHV1-138*01_S8712,3,0,0,0,3,F,F,T,F,T,F
IGHV1-138*01_S8841,1,0,0,0,1,T,F,F,F,F,F
IGHV1-138*01_S8860,0,1,3,0,4,F,F,T,T,T,F
IGHV1-138*01_S9115,0,1,0,0,1,T,F,F,F,F,F
IGHV1-138*01_S9603,1,0,0,0,1,F,F,T,F,F,F
IGHV1-138*02,2,4,0,0,6,F,F,T,F,T,F
IGHV1-170*01,4,7,0,0,11,F,F,T,T,T,T
IGHV1-170*01_S3055,0,6,1,5,12,F,F,T,F,F,F
IGHV1-193*01_S6037,5,6,6,0,17,F,T,F,F,T,T
IGHV1-58*02,0,3,0,0,3,F,F,T,F,T,T
IGHV1-60*01_S1918,0,1,0,0,1,T,F,F,F,T,F
IGHV1-60*01_S7602,1,1,1,0,3,F,F,T,F,T,F
IGHV1-60*01_S7772,6,2,2,10,20,F,F,T,F,F,F
IGHV1-84*01,2,10,0,0,12,F,F,T,T,T,T
IGHV1-84*01_S0025,3,0,0,0,3,F,F,T,T,T,F
IGHV1-84*01_S0240,2,0,0,0,2,F,F,T,F,T,F
