Alleles,ChinRhe,IndiRhe,IndoCyn,MaurCyn,Total,Leader only,Upstream only,Both primers sets,Genomically validated,Previous databases,Genomic assemblies
IGHV1-105*01_S1228,0,0,0,6,6,F,T,F,T,F,F
IGHV1-105*01_S3660,0,0,1,0,1,F,F,T,F,F,F
IGHV1-105*01_S7247,0,0,1,0,1,F,F,T,F,F,F
IGHV1-105*01_S8693,0,0,0,1,1,F,T,F,F,F,F
IGHV1-105*01_S8807,0,0,1,0,1,F,F,T,F,F,F
IGHV1-105*01_S9006,0,0,1,1,2,F,T,F,T,T,F
IGHV1-124*01,10,12,3,4,29,F,F,T,F,T,T
IGHV1-124*01_S1287,0,0,2,0,2,F,T,F,F,F,F
IGHV1-124*01_S5161,0,0,1,0,1,F,F,T,F,F,F
IGHV1-124*01_S6748,2,1,1,12,16,F,F,T,F,T,T
IGHV1-124*01_S7834,0,4,2,0,6,F,F,T,F,F,F
IGHV1-138*01_S0032,0,0,0,2,2,F,F,T,T,T,T
IGHV1-138*01_S0851,0,0,2,4,6,F,F,T,T,F,F
IGHV1-138*01_S1423,0,0,1,0,1,F,F,T,F,F,F
IGHV1-138*01_S2054,1,11,3,10,25,F,F,T,T,T,F
IGHV1-138*01_S2121,0,0,2,0,2,F,F,T,F,F,F
IGHV1-138*01_S2734,0,0,0,6,6,F,F,T,T,F,F
IGHV1-138*01_S4144,1,0,2,0,3,F,T,F,T,T,F
IGHV1-138*01_S6073,0,3,2,10,15,F,F,T,T,T,F
IGHV1-138*01_S8728,0,0,1,0,1,F,F,T,F,F,F
IGHV1-138*01_S8860,0,1,3,0,4,F,F,T,T,T,F
IGHV1-138*02_S0669,0,0,1,0,1,F,T,F,T,F,F
IGHV1-138*02_S9625,0,0,0,5,5,F,F,T,F,F,F
IGHV1-170*01_S3055,0,6,1,5,12,F,F,T,F,F,F
IGHV1-170*01_S4252,0,0,1,0,1,F,T,F,F,F,F
IGHV1-193*01_S6037,5,6,6,0,17,F,T,F,F,T,T
IGHV1-60*01_S1023,0,0,0,1,1,F,F,T,F,F,F
IGHV1-60*01_S7602,1,1,1,0,3,F,F,T,F,T,F
IGHV1-60*01_S7772,6,2,2,10,20,F,F,T,F,F,F
