Alleles,ChinRhe,IndiRhe,IndoCyn,MaurCyn,Total,Leader only,Upstream only,Both primers sets
IGHJ1-1*01,12,15,6,12,45,F,F,T
IGHJ1-1*01_S0456,0,0,3,0,3,F,F,T
IGHJ1-1*01_S0488,0,0,0,1,1,F,F,T
IGHJ2*01,12,15,2,6,35,F,F,T
IGHJ2*01_S5087,4,6,1,1,12,F,F,T
IGHJ3-2*01,12,15,6,12,45,F,F,T
IGHJ4-3*01,12,15,1,8,36,F,F,T
IGHJ4-3*01_S9191,1,1,6,10,18,F,F,T
IGHJ5-4*01,0,5,0,0,5,F,F,T
IGHJ5-4*02,9,0,6,12,27,F,F,T
IGHJ5-4*03,7,12,1,1,21,F,F,T
IGHJ5-5*01,11,14,6,12,43,F,F,T
IGHJ5-5*01_S6098,1,0,0,0,1,F,F,T
IGHJ5-5*02,0,2,1,0,3,F,F,T
IGHJ6-6*01,12,15,1,0,28,F,F,T
IGHJ6-6*01_S0171,0,1,6,12,19,F,F,T
